Country,Biome,Elevation,Vegetation,MAT,MAP,Soil_microbial_biomass_carbon,Soil_microbial_biomass_nitrogen,Soil_microbial_biomass_phosphorus,Soil_organic_carbon,Total_nitrogen,Total_organic_phosphorus,pH,Lower_depth,Method
India,Cropland,76,,,1100,31.35,2.43,0.62,950,71.43,5.61,,10,FE
India,Cropland,215,wheat,28.3,400,12.25,,,375,28.57,,7.4,15,FE
India,Cropland,216,wheat,28.3,400,16.25,,,425,35.71,,7.3,15,FE
India,Cropland,217,wheat,28.3,400,17.75,,,483.33,35.71,,7.3,15,FE
India,Cropland,218,wheat,28.3,400,18.83,,,483.33,42.86,,7.5,15,FE
India,Cropland,219,wheat,28.3,400,22.75,,,525,50,,7.3,15,FE
India,Cropland,220,wheat,28.3,400,35.25,,,541.67,57.14,,7.4,15,FE
India,Cropland,221,wheat,28.3,400,26.42,,,516.67,42.86,,7.3,15,FE
India,Cropland,215,pearl millet/wheat,28.3,400,12.5,1.29,,350,32.86,,,15,FI
India,Cropland,215,pearl millet/wheat,28.3,400,25,3.93,,325,45.71,,,15,FI
India,Cropland,215,pearl millet/wheat,28.3,400,19.92,2.86,,341.67,42.14,,,15,FI
India,Cropland,215,pearl millet/wheat,28.3,400,22.5,3.64,,333.33,42.14,,,15,FI
India,Cropland,215,pearl millet/wheat,28.3,400,26.58,4.43,,400,43.57,,,15,FI
India,Cropland,215,pearl millet/wheat,28.3,400,30.67,4.86,,408.33,44.29,,,15,FI
India,Cropland,217,"maize, wheat, cowpea",,,12.67,2.14,,383.33,28.57,,,15,FE
India,Cropland,217,"maize, wheat, cowpea",,,18.08,3,,475,42.86,,,15,FE
India,Cropland,217,"maize, wheat, cowpea",,,18.58,3.07,,508.33,42.86,,,15,FE
India,Cropland,217,"maize, wheat, cowpea",,,17.33,2.79,,433.33,35.71,,,15,FE
India,Cropland,217,"maize, wheat, cowpea",,,17.25,2.93,,441.67,35.71,,,15,FE
India,Cropland,217,"maize, wheat, cowpea",,,15.83,3,,416.67,35.71,,,15,FE
India,Cropland,217,"maize, wheat, cowpea",,,15,2.86,,416.67,35.71,,,15,FE
India,Cropland,217,"maize, wheat, cowpea",,,27.58,3.93,,575,50,,,15,FE
India,Cropland,217,"maize, wheat, cowpea",,,18.33,3.57,,500,42.86,,,15,FE
India,Cropland,217,"maize, wheat, cowpea",,,10.17,1.64,,316.67,21.43,,,15,FE
India,Cropland,76,Rice and Barley,,1287,19.58,1.71,,650,62.14,,,10,FE
India,Cropland,76,Rice and Barley,,1287,28.92,2.74,,816.67,84.29,,,10,FE
India,Cropland,76,Rice and Barley,,1287,22.58,1.98,,683.33,65.36,,,10,FE
India,Cropland,76,Rice and Barley,,1287,35.58,3.48,,925,95,,,10,FE
India,Cropland,76,Rice and Barley,,1287,23.58,1.9,,675,63.5,,,10,FE
India,Cropland,76,Rice and Barley,,1287,26.67,2.21,,716.67,69.79,,,10,FE
India,Cropland,,Cymbopogon martinii,,,12.5,3.178571429,0.64516129,316.6666667,37.5,,7.8,15,FI
India,Cropland,,Mentha arvensis,,,17.91666667,3.464285714,0.838709677,266.6666667,39.28571429,,7.9,15,FI
India,Cropland,,Cymbopogon martinii,,,12.08333333,3.242857143,0.725806452,316.6666667,37.5,,7.8,30,FI
India,Cropland,,Mentha arvensis,,,12.08333333,2.178571429,0.661290323,266.6666667,39.28571429,,7.9,30,FI
India,Cropland,,,25,1400,26.08333333,2.357142857,0.516129032,1077.5,93.14285714,6.580645161,,15,FI
India,Cropland,1000-2000,,,,21.58,2.36,0.39,1416.67,142.86,14.84,5.21,15,FE
India,Cropland,300-1000,,,,18.25,2.14,,1000,107.14,15.16,5.9,15,FE
India,Cropland,1600-1900,Agroforestry,,,48.58,4.5,0.71,1833.33,164.29,24.52,5.44,15,FE
India,Cropland,400-1600,Agroforestry,,,39.25,3.43,0.58,1166.67,135.71,22.58,6.11,15,FE
India,Cropland,1000-2000,,,,32.5,2.71,0.52,1833.33,142.86,24.19,6.43,15,FE
India,Cropland,300-1000,,,,24.25,2.43,0.42,1083.33,146.43,22.58,6.02,15,FE
India,Cropland,76,,,1100,20.25,1.83,0.34,641.67,71.43,5.71,6.76,10,FE
India,Cropland,76,,,1100,23.25,2.14,0.36,575,57.14,6.26,6.89,10,FE
India,Cropland,76,,,1100,27.42,2.59,0.45,775,78.57,5.84,7.03,10,FE
India,Cropland,76,,,1100,29.58,3.01,0.5,641.67,78.57,6.06,6.8,10,FE
India,Cropland,,barkachha cropland,,,22.83,2.01,0.25,541.67,42.86,5.16,,30,FE
India,Cropland,,BHR cropland,,,17.33,1.81,0.19,458.33,42.86,3.87,,30,FE
India,Cropland,,barkachha cropland,,,14.33,2.79,0.38,541.67,42.86,5.16,,30,FE
India,Cropland,,BHR cropland,,,12.83,2.51,0.35,458.33,42.86,3.87,,30,FE
India,Cropland,76,Zea mays,20,1263,32.75,,0.55,916.67,140.71,9.03,6.9,10,FI
India,Cropland,416,,,,15.17,,,725,56.43,5.48,6.7,10,FE
India,Cropland,416,,,,17,,,1050,95.71,5.81,6.6,10,FE
India,Cropland,76,Rice-lentils,26.4,1105,17.58333333,2,0.322580645,600,45,3.774193548,,10,FI
India,Cropland,76,Rice-lentils,26.4,1105,23.66666667,2.857142857,0.483870968,616.6666667,53.35714286,6.451612903,,10,FI
India,Cropland,76,Rice-lentils,26.4,1105,30.25,2.928571429,0.580645161,750,59.64285714,5.64516129,,10,FI
India,Cropland,76,Rice-lentils,26.4,1105,26.16666667,3,0.580645161,625,51,4.032258065,,10,FI
India,Cropland,299-416,,,,20.83,2.36,0.48,887.5,76.07,5.65,6.66,10,FI
Ireland,Cropland,,,,,11.08,,,3391.67,257.14,,5.9,30,FE
Ireland,Cropland,,,,,12.75,,,2225,178.57,,6.5,30,FE
Ireland,Cropland,,,,,13,,,2600,214.29,,7,30,FE
Ireland,Cropland,,,,,13.58,,,2083.33,171.43,,6.1,30,FE
Ireland,Cropland,,,,,20.17,,,2025,200,,7.2,30,FE
Ireland,Cropland,,,,,8.42,,,1275,128.57,,6.3,30,FE
Ireland,Cropland,,,,,16.08,,,2166.67,192.86,,7.3,30,FE
Ireland,Cropland,,,,,11.83,,,1566.67,142.86,,7.5,30,FE
Ireland,Cropland,,,,,7.08,,,1258.33,121.43,,7.5,30,FE
Ireland,Cropland,,,,,12.67,,,2000,185.71,,6,30,FE
Ireland,Cropland,,,,,11,,,1483.33,135.71,,6.2,30,FE
Ireland,Cropland,,,,,9.33,,,1391.67,128.57,,6.8,30,FE
Ireland,Cropland,,,,,14.83,,,1975,164.29,,5.5,30,FE
Ireland,Cropland,,,,,7.75,,,2000,171.43,,6.8,30,FE
Ireland,Cropland,,,,,8.92,,,1841.67,135.71,,6.9,30,FE
Italy,Cropland,,,,,13.7,,,958.33,,,,30,FE
Italy,Cropland,,,,,37.67,4.43,,1250,57.14,,,20,FE
Italy,Cropland,,,,,34.17,4.43,,1250,57.14,,,20,FE
Italy,Cropland,,,,,30.92,3.57,,1250,57.14,,,20,FE
Italy,Cropland,,,,,42.17,,,1016.67,,,8.1,,FE
Italy,Cropland,,,,,26.92,,,633.33,,,8.1,,FE
Italy,Cropland,,,,,35.83,,,916.67,,,8.1,,FE
Italy,Cropland,1850,,3,1097,94.5,10.5,,4800,350,,5.5,10,FE
Italy,Cropland,1770,,3.6,1041,160.33,11.86,,8666.67,471.43,,4.4,10,FE
Italy,Cropland,1550,,5.5,1189,126.75,9.71,,5300,321.43,,4.7,10,FE
Japan,Cropland,,Rice,,,43.33,3.57,,,,,ambient co2 and low n,5,FE
Japan,Cropland,,Rice,,,42.25,3.29,,,,,ambient co2 and low n,10,FE
Japan,Cropland,,Rice,,,44.75,4.07,,,,,elevated co2 and low n,5,FE
Japan,Cropland,,Rice,,,42,3.5,,,,,elevated co2 and low n,10,FE
Japan,Cropland,,Rice,,,58.08,4.93,,,,,ambient co2 and medium n,5,FE
Japan,Cropland,,Rice,,,56.75,4.21,,,,,ambient co2 and medium n,10,FE
Japan,Cropland,,Rice,,,64.17,5.5,,,,,elevated co2 and medium n,5,FE
Japan,Cropland,,Rice,,,56.5,3.79,,,,,elevated co2 and medium n,10,FE
Japan,Cropland,,Rice,,,41.33,3.57,,,,,ambient co2 and low n,5,FE
Japan,Cropland,,Rice,,,35.08,2.64,,,,,ambient co2 and low n,10,FE
Japan,Cropland,,Rice,,,39.33,3.29,,,,,elevated co2 and low n,5,FE
Japan,Cropland,,Rice,,,32.5,2.64,,,,,elevated co2 and low n,10,FE
Japan,Cropland,,Rice,,,40.25,3.07,,,,,ambient co2 and medium n,5,FE
Japan,Cropland,,Rice,,,36.42,2.71,,,,,ambient co2 and medium n,10,FE
Japan,Cropland,,Rice,,,43.25,3.43,,,,,elevated co2 and medium n,5,FE
Japan,Cropland,,Rice,,,38.08,2.79,,,,,elevated co2 and medium n,10,FE
Japan,Cropland,,Cropland,,,2.75,0.414285714,,713.3333333,67.85714286,,4.5,10,FE
Japan,Cropland,,Cropland,,,10.33333333,1.285714286,,2216.666667,199.2857143,,5.1,10,FE
Japan,Cropland,,Cropland,,,55.41666667,3.75,,11083.33333,1014.285714,,6.8,10,FE
Kenya,Cropland,,continuous maize,,1900,31.08,,,1883.33,,,4.1,25,FE
Kenya,Cropland,,fallow,,1700,16.67,,,1333.33,,,5.1,25,FE
Kenya,Cropland,,continuous maize,,1700,9.33,,,1183.33,,,5.1,25,FE
Kenya,Cropland,,improved fallow maize,,1700,26.25,,,1875,,,5.8,25,FE
Kenya,Cropland,,continous maize,,1700,19,,,1675,,,5.8,25,FE
Kenya,Cropland,,improved fallow maize,,1600,17.25,,,1241.67,,,5.1,25,FE
Kenya,Cropland,,continous maize,,1600,17,,,1008.33,,,5.1,25,FE
Kenya,Cropland,,improved fallow maize,,1500,14.25,,,950,,,5,25,FE
Kenya,Cropland,,continuous maize,,1500,11.75,,,758.33,,,5,25,FE
Kenya,Cropland,,annual grain crop,,,7.42,,0.4,,,,,15,FE
Kenya,Cropland,,annual grain crop,,,23.67,,0.37,,,,,15,FE
Kenya,Cropland,,annual grain crop,,,23,,0.19,,,,,15,FE
Kenya,Cropland,,annual grain crop,,,23.5,,0.45,,,,,15,FE
Mexico,Cropland,2240,Maize with residue,15,600,37.75,2.79,,1216.67,126.36,,6.1,15,FI and SIR
Mexico,Cropland,2241,Maize with residue removed,15,600,10.17,1.21,,1066.67,91.64,,6.1,15,FI and SIR
Mexico,Cropland,2242,Wheat and Maize with residue,15,600,34.75,2.07,,1166.67,108.43,,6.1,15,FI and SIR
Mexico,Cropland,2243,Wheat and Maize with residue removed,15,600,28.42,1.71,,991.67,103.21,,6.1,15,FI and SIR
Mexico,Cropland,2244,Maize with residue tillage,15,600,26.83,1.71,,1275,118,,6,15,FI and SIR
Mexico,Cropland,2245,"Maize with residue removed, tillage",15,600,24.25,0.86,,1083.33,114.14,,6,15,FI and SIR
Mexico,Cropland,2246,"Wheat and Maize with residue, tillage",15,600,33,1.64,,1166.67,108.43,,6.2,15,FI and SIR
Mexico,Cropland,2247,"Wheat and Maize with residue removed, tillage",15,600,27.92,1.79,,1100,95.93,,6.2,15,FI and SIR
Mexico,Cropland,2248,wheat with residue,15,600,31.17,2,,1150,108.14,,6.1,15,FI and SIR
Mexico,Cropland,2249,wheat with residue removed,15,600,27.42,1.5,,1133.33,133.36,,6.2,15,FI and SIR
Mexico,Cropland,2250,maize and wheat with residue,15,600,37.75,1.43,,1108.33,116.86,,6.1,15,FI and SIR
Mexico,Cropland,2251,maize and wheat with residue removed,15,600,24,1.57,,1100,93.71,,5.8,15,FI and SIR
Mexico,Cropland,2252,wheat with residue tillage,15,600,45.33,1.93,,1125,108.21,,6,15,FI and SIR
Mexico,Cropland,2253,"wheat with residue removed, tillage",15,600,24,1.79,,1033.33,111.57,,6.2,15,FI and SIR
Mexico,Cropland,2254,"Maize and Wheat with residue, tillage",15,600,33,2.43,,1183.33,107.79,,6.1,15,FI and SIR
Mexico,Cropland,2255,"Maize and wheat with residue removed, tillage",15,600,19,1.43,,1141.67,83.93,,6,15,FI and SIR
Netherlands,Cropland,,winter wheat,,,26,,,983.33,71.43,,7.62,10,FI
Netherlands,Cropland,,spring barley,,,23.33,,,900,69.29,,7.63,10,FI
Netherlands,Cropland,,arable farming,,,12.92,2.07,,1000,128.57,,7.4,,FE
Netherlands,Cropland,,,,,94.17,,,,,,,20,FI
Netherlands,Cropland,,,,,88,,,,,,,40,FI
Netherlands,Cropland,,,,,114.5,,,,,,,20,FI
Netherlands,Cropland,,,,,109.67,,,,,,,40,FI
Netherlands,Cropland,,,,,133.75,,,,,,,25,FI
Netherlands,Cropland,,,,,200.75,,,,,,,25,FI
Netherlands,Cropland,,,,,91.5,,,,,,,25,FI
Netherlands,Cropland,,,,,149.58,,,,,,,25,FI
Netherlands,Cropland,,,,,188,,,,,,,25,FI
Netherlands,Cropland,,,,,120.08,,,,,,,25,FI
Netherlands,Cropland,,,,,90.08,,,,,,,25,FI
Netherlands,Cropland,,,,,103.5,,,,,,,25,FI
Netherlands,Cropland,,,,,122.25,,,,,,,25,FI
Netherlands,Cropland,,,,,94.08,,,,,,,25,FI
Netherlands,Cropland,,,,,242.5,,,,,,,25,FI
Netherlands,Cropland,,,,,106.5,,,,,,,25,FI
Netherlands,Cropland,,,,,114.67,,,,,,,25,FI
Netherlands,Cropland,,,,,120.33,,,,,,,25,FI
Netherlands,Cropland,,,,,138.17,,,,,,,25,FI
Netherlands,Cropland,,,,,85.33,,,,,,,25,FI
Netherlands,Cropland,,,,,239.42,,,,,,,25,FI
Netherlands,Cropland,,,,,110.08,,,,,,,25,FI
Netherlands,Cropland,,,,,116.67,,,,,,,25,FI
Netherlands,Cropland,,,,,148.83,,,,,,,25,FI
Netherlands,Cropland,,,,,138.33,,,,,,,25,FI
Netherlands,Cropland,,,,,124.25,,,,,,,25,FI
Netherlands,Cropland,,,,,179.75,,,,,,,25,FI
Netherlands,Cropland,,,,,193.92,,,,,,,25,FI
Netherlands,Cropland,,,,,172.58,,,,,,,25,FI
Netherlands,Cropland,,,,,162.25,,,,,,,25,FI
New Zealand,Cropland,,ryegrass,,,33.58,3.79,,,,,,10,FE
New Zealand,Cropland,,ryegrass,,,26.42,2.64,,,,,,20,FE
New Zealand,Cropland,,ryegrass,,,38.08,3.93,,,,,,10,FE
New Zealand,Cropland,,ryegrass,,,25.83,2.79,,,,,,20,FE
New Zealand,Cropland,,Bare ground,,,24.58,2.29,,,,,,10,FE
New Zealand,Cropland,,Bare ground,,,24.83,2.36,,,,,,20,FE
New Zealand,Cropland,,Bare ground,,,26.08,2.43,,,,,,10,FE
New Zealand,Cropland,,Bare ground,,,22.67,2.14,,,,,,20,FE
New Zealand,Cropland,,Cropland,,,33.88,,,2083.33,,,,10,FE
New Zealand,Cropland,,Cropland and pasture,,,96.58,,,3400,,,,10,FE
New Zealand,Cropland,,Cropland and pasture,,,62.5,,,2108.33,,,,10,FE
New Zealand,Cropland,,Cropland and bush,,,69.92,,,2212.5,,,,10,FE
New Zealand,Cropland,,,,,21.58,,,1583.33,121.43,,,7.5,SIR
New Zealand,Cropland,,,,,19.67,,,1583.33,128.57,,,7.5,SIR
New Zealand,Cropland,,,,,45.58,,,6750,392.86,,,7.5,SIR
New Zealand,Cropland,,,,,44.33,,,6750,400,,,7.5,SIR
New Zealand,Cropland,,,,,58.42,,,3083.33,235.71,,,7.5,SIR
New Zealand,Cropland,,,,,52.92,,,3000,264.29,,,7.5,SIR
New Zealand,Cropland,,,,,71.25,,,4500,307.14,,,7.5,SIR
New Zealand,Cropland,,,,,60.67,,,2333.33,164.29,,,7.5,SIR
New Zealand,Cropland,,,,,75.58,,,2250,171.43,,,7.5,SIR
New Zealand,Cropland,,arable farming,,,31.42,,,2083.33,142.86,,5.7,15,SIR
Pakistan,Cropland,,"wheat, maize, millet, groundnut, mungbean, rape",24.5,750,5.1,0.4,0.1,217,13.6,15.8,8,20,FE
Pakistan,Cropland,,"wheat, maize, millet, groundnut, mungbean, rape",24.5,750,6,0.4,0.1,217,14.3,18.4,8,20,FE
Pakistan,Cropland,,"wheat, maize, millet, groundnut, mungbean, rape",24.5,750,7.5,0.6,0.1,266,20,16.8,8.1,20,FE
Pakistan,Cropland,,"wheat, maize, millet, groundnut, mungbean, rape",24.5,750,8,0.7,0.1,291,20.7,20.3,7.5,20,FE
Pakistan,Cropland,,"wheat, maize, millet, groundnut, mungbean, rape",24.5,750,12.4,1,0.2,350,24.3,18.7,7.2,20,FE
Pakistan,Cropland,,"wheat, maize, millet, groundnut, mungbean, rape",24.5,750,8.4,0.8,0.1,266,20,26.2,7.8,20,FE
Pakistan,Cropland,,"wheat, maize, millet, groundnut, mungbean, rape",24.5,750,8.6,0.8,0.1,291,22.8,17.4,7.6,20,FE
Pakistan,Cropland,,"wheat, maize, millet, groundnut, mungbean, rape",24.5,750,9.7,0.8,0.1,316,20.7,19.7,7.4,20,FE
Pakistan,Cropland,,"wheat, maize, millet, groundnut, mungbean, rape",24.5,750,15.7,1.4,0.2,425,34.3,22.3,7.9,20,FE
Pakistan,Cropland,,"wheat, maize, millet, groundnut, mungbean, rape",24.5,750,10.5,1,0.1,358,26.4,18.1,7.7,20,FE
Pakistan,Cropland,,"wheat, maize, millet, groundnut, mungbean, rape",24.5,750,16.5,1.6,0.2,533,40,23.9,7.8,20,FE
Pakistan,Cropland,,Wheat-maize,26,340,10.83,,,991.67,,,7.3,,FI
Pakistan,Cropland,,Wheat-maize,26,340,10.08,,,1625,,,7.3,,FI
Pakistan,Cropland,,Wheat-maize,26,340,12.25,,,983.33,,,7.4,,FI
Pakistan,Cropland,,Wheat-maize,26,340,8.58,,,1075,,,7.4,,FI
Pakistan,Cropland,,Wheat-maize,26,340,8.42,,,900,,,7.4,,FI
Pakistan,Cropland,,Wheat-maize,26,340,9.75,,,1266.67,,,,,FI
Pakistan,Cropland,,Wheat-maize,26,340,9.25,,,1175,,,,,FI
Pakistan,Cropland,,Wheat-maize,26,340,7.75,,,1241.67,,,,,FI
Pakistan,Cropland,,Wheat-maize,26,340,4.83,,,1341.67,,,,,FI
Pakistan,Cropland,,Wheat-maize,26,340,10.75,,,1066.67,,,,,FI
Pakistan,Cropland,,Wheat-maize,26,340,9.83,,,950,,,,,FI
Pakistan,Cropland,,Wheat-maize,26,340,10,,,933.33,,,,,FI
Pakistan,Cropland,,Wheat-maize,26,340,12.67,,,1058.33,,,,,FI
Pakistan,Cropland,,Wheat-maize,26,340,13.67,,,1116.67,,,,,FI
Pakistan,Cropland,,Wheat-maize,26,340,11.42,,,1000,,,,,FI
Pakistan,Cropland,,Wheat-maize,26,340,7.67,,,808.33,,,,,FI
Pakistan,Cropland,,Wheat-maize,26,340,5.67,,,858.33,,,,,FI
Pakistan,Cropland,,Wheat-maize,26,340,8.58,,,850,,,,,FI
Pakistan,Cropland,,Wheat-maize,26,340,6.25,,,983.33,,,,,FI
Pakistan,Cropland,,Wheat-maize,26,340,6.58,,,816.67,,,,,FI
Pakistan,Cropland,,Wheat-maize,26,340,3.75,,,1308.33,,,,,FI
Pakistan,Cropland,,Wheat-maize,26,340,1.83,,,1083.33,,,,,FI
Pakistan,Cropland,,Wheat-maize,26,340,7.25,,,1250,,,,,FI
Pakistan,Cropland,,Wheat-maize,26,340,7.33,,,1616.67,,,,,FI
Pakistan,Cropland,,Wheat-maize,26,340,6.25,,,883.33,,,,,FI
Pakistan,Cropland,,Wheat-maize,26,340,13.83,,,1116.67,,,,,FI
Pakistan,Cropland,,Wheat-maize,26,340,12.08,,,908.33,,,,,FI
Pakistan,Cropland,,Wheat-maize,26,340,14.25,,,1050,,,,,FI
Pakistan,Cropland,,Wheat-maize,26,340,11.5,,,1225,,,,,FI
Pakistan,Cropland,,Wheat-maize,26,340,7.25,,,1041.67,,,,,FI
Pakistan,Cropland,,Wheat-maize,26,340,14.17,,,925,,,,,FI
Pakistan,Cropland,,Wheat-maize,26,340,13.75,,,950,,,,,FI
Pakistan,Cropland,,Wheat-maize,26,340,14.33,,,1116.67,,,,,FI
Pakistan,Cropland,,Wheat-maize,26,340,15.75,,,1266.67,,,,,FI
Pakistan,Cropland,,Wheat-maize,26,340,10.08,,,900,,,,,FI
Pakistan,Cropland,,Wheat-maize,26,340,9.17,,,966.67,,,,,FI
Pakistan,Cropland,,Wheat-maize,26,340,10.58,,,1016.67,,,,,FI
Pakistan,Cropland,,Wheat-maize,26,340,8.58,,,1108.33,,,,,FI
Pakistan,Cropland,,Wheat-maize,26,340,7.33,,,1125,,,,,FI
Pakistan,Cropland,,Wheat-maize,26,340,8.25,,,808.33,,,,,FI
Philippines,Cropland,66,Rice,,,10.25,5.21,,1358.33,92.86,,6.6,20,FE
Philippines,Cropland,66,Rice,,,14.17,3.43,,1100,71.43,,6.2,20,FE
Philippines,Cropland,66,Rice,,,12.5,1.86,,1200,100,,6.1,20,FE
Philippines,Cropland,66,Rice,,,11.08,3.57,,841.67,57.14,,6.5,20,FE
Philippines,Cropland,66,Rice,,,12.08,2.14,,791.67,64.29,,6.4,20,FE
Philippines,Cropland,66,Rice,,,10.42,5,,616.67,35.71,,6,20,FE
Philippines,Cropland,66,Rice,,,10.83,4.64,,1408.33,107.14,,6.6,20,FE
Philippines,Cropland,66,Rice,,,9.58,3.14,,1175,78.57,,6.6,20,FE
Philippines,Cropland,66,Rice,,,9.17,4.36,,750,64.29,,6.1,20,FE
Philippines,Cropland,66,Rice,,,7.83,1.57,,1091.67,71.43,,6.6,20,FE
Philippines,Cropland,66,Rice,,,10.25,5.29,,675,78.57,,6.1,20,FE
Philippines,Cropland,66,Rice,,,9.08,4.29,,716.67,64.29,,6.3,20,FE
Philippines,Cropland,66,Rice,,,10.5,4.5,,708.33,57.14,,6.5,20,FE
Philippines,Cropland,66,Rice,,,9.83,2.5,,1083.33,42.86,,6.8,20,FE
Philippines,Cropland,66,Rice,,,9.42,5,,783.33,64.29,,6.5,20,FE
Philippines,Cropland,66,Rice,,,12.17,1.64,,683.33,50,,6.2,20,FE
Philippines,Cropland,66,Rice,,,6.46,0.6,,1408.33,107.14,,6.6,20,FE
Philippines,Cropland,66,Rice,,,6.11,0.49,,1733.33,114.29,,6.6,20,FE
Philippines,Cropland,66,Rice,,,4.2,0.61,,991.67,57.14,,6.1,20,FE
Philippines,Cropland,,Cropland,,,3.166666667,0.421428571,,766.6666667,71.42857143,,6.2,10,FE
Poland,Cropland,,potato/rye/rye,,,19.33,,,533.33,40.71,,7.12,10,FI
Poland,Cropland,,potato/rye/rye/rye,,,20.07,,,633.33,42.86,,7.06,10,FI
Poland,Cropland,,rye/rye/rye,,,23,,,641.67,45.71,,6.84,10,FI
Poland,Cropland,,oat/rye/rye/rye,,,21.38,,,616.67,47.14,,7.47,10,FI
Russia,Cropland,,flax (Linum usitatissimum) and potatoes,3.3,612,45.33333333,,,1416.666667,71.42857143,,4.5,20,SIR
Russia,Cropland,,flax (Linum usitatissimum) and potatoes,3.3,612,7.933333333,,,566.6666667,50,,4.2,20,SIR
Russia,Cropland,,flax (Linum usitatissimum) and potatoes,3.3,612,4.875,,,541.6666667,50,,4.1,20,SIR
Russia,Cropland,,flax (Linum usitatissimum) and potatoes,3.3,612,6.416666667,,,583.3333333,57.14285714,,4.3,20,SIR
Russia,Cropland,,"Sugar beet, corn, and winter wheat",5.1,453,18.25833333,,,2608.333333,171.4285714,,5.3,30,SIR
Russia,Cropland,,"Sugar beet, corn, and winter wheat",5.1,453,12.70833333,,,2541.666667,128.5714286,,5.1,30,SIR
Russia,Cropland,,"Sugar beet, corn, and winter wheat",5.1,453,10.3,,,2575,150,,5,30,SIR
Russia,Cropland,,"Sugar beet, corn, and winter wheat",5.1,453,15.5,,,2583.333333,157.1428571,,5.2,30,SIR
Russia,Cropland,,"Sugar beet, corn, and winter wheat",5.1,453,10.06666667,,,2516.666667,128.5714286,,5,30,SIR
Russia,Cropland,,"Sugar beet, corn, and winter wheat",5.1,453,7.675,,,2558.333333,142.8571429,,4.9,30,SIR
Russia,Cropland,,"Sugar beet, corn, and winter wheat",5.1,453,12.875,,,2575,157.1428571,,5.1,30,SIR
Russia,Cropland,,Wheat,,,38.4,,,800,,,5.85,5,SIR
Russia,Cropland,,Wheat,,,23.76666667,,,766.6666667,,,6.05,10,SIR
Russia,Cropland,,Weeds,,,13.475,,,408.3333333,,,6.05,5,SIR
Russia,Cropland,,Weeds,,,7.8,,,300,,,6.1,10,SIR
Russia,Cropland,,Mustard,,,18.025,,,858.3333333,,,6.3,5,SIR
Russia,Cropland,,Mustard,,,16.8,,,800,,,6.4,10,SIR
Russia,Cropland,,"Fescue, worm-wood",,,72.96666667,,,1658.333333,,,6.25,5,SIR
Russia,Cropland,,"Fescue, worm-wood",,,30.25,,,916.6666667,,,6.9,10,SIR
Russia,Cropland,,Sunflower,,,20.8,,,800,,,8.2,5,SIR
Russia,Cropland,,Sunflower,,,13.03333333,,,766.6666667,,,8.4,10,SIR
Russia,Cropland,185,Oat,,,12.42,,,575,,,4.76,24,FE
Russia,Cropland,,"What, perennial grasses",-10,300~360,52,3.57,,2583.333333,192.8571429,,7.2,20,FE
Russia in Europe,Cropland,185,Arable,,,12.42,,,575,,,4.76,24,SIR
Russia in Europe,Cropland,188,Young fallow,,,15.58,,,725,,,4.95,13,SIR
Russia in Europe,Cropland,188,Young fallow,,,10.5,,,666.67,,,4.64,26,SIR
Spain,Cropland,,Barley,14,487,16.83,,,666.67,50,,6.4,20,FE
Spain,Cropland,173,unplanted,,1824,54.5,,,,,,5.3,,FE
Spain,Cropland,173,planted,,1824,43.83,,,,,,5.6,,FE
Spain,Cropland,173,unplanted,,1824,51.75,,,,,,5,,FE
Spain,Cropland,173,planted,,1824,73.25,,,,,,5.7,,FE
Spain,Cropland,173,unplanted,,1824,74,,,,,,5.3,,FE
Spain,Cropland,173,planted,,1824,80.92,,,,,,5.2,,FE
Spain,Cropland,173,unplanted,,1824,45.08,,,,,,5.1,,FE
Spain,Cropland,173,planted,,1824,49.58,,,,,,5.5,,FE
Spain,Cropland,173,unplanted,,1824,60.33,,,,,,5.1,,FE
Spain,Cropland,173,planted,,1824,53.92,,,,,,5.5,,FE
Spain,Cropland,290,unplanted,,1904,22.33,,,,,,4.6,,FE
Spain,Cropland,290,planted,,1904,11.25,,,,,,4.7,,FE
Spain,Cropland,290,unplanted,,1904,40.25,,,,,,4.7,,FE
Spain,Cropland,290,planted,,1904,38,,,,,,5.2,,FE
Spain,Cropland,290,unplanted,,1904,52.75,,,,,,5.2,,FE
Spain,Cropland,290,planted,,1904,51.83,,,,,,5.4,,FE
Spain,Cropland,290,planted,,1904,21.08,,,,,,4.5,,FE
Spain,Cropland,290,planted,,1904,19.17,,,,,,4.5,,FE
Spain,Cropland,140,unplanted,,1828,19.5,,,,,,6.3,,FE
Spain,Cropland,140,planted,,1828,14.5,,,,,,6.3,,FE
Spain,Cropland,140,unplanted,,1828,28.58,,,,,,6.4,,FE
Spain,Cropland,140,planted,,1828,52,,,,,,6.7,,FE
Spain,Cropland,140,planted,,1828,31.58,,,,,,6.6,,FE
Spain,Cropland,140,planted,,1828,14.83,,,,,,6.2,,FE
Sweden,Cropland,,,,,16.17,3.43,,,,,,20,FI
Sweden,Cropland,,,,,21.5,4.14,,,,,,20,FI
Sweden,Cropland,,,,,28.04,5.43,,,,,,20,FI
Sweden,Cropland,,,,,38.38,8.43,,,,,,20,FI
Sweden,Cropland,,,,,38.5,8.36,,,,,,20,FI
Sweden,Cropland,,,,,11.5,,,866.67,,,6.2,30,FE
Sweden,Cropland,,,,,16.33,,,1025,,,6.2,30,FE
Sweden,Cropland,,,,,20.83,,,1208.33,,,6.7,30,FE
